품번,품명,가격
178714,[대량상품]등갈비/백립 - 미국 | 아이오와 프리미엄비프(8) - CAB,"9,090원"
126051,토시살 - 멕시코 | 비바 - GF,"9,100원"
155624,설깃 - 미국 | IBP - CAB,"9,100원"
176852,홍두깨 - 미국 | 크릭스톤(27) - 초이스,"9,100원"
179996,목심 - 호주 | 스위프트 - A,"9,100원"
183833,목심 - 우루과이 | 판도,"9,100원"
189070,안창살(조각) - 미국 | 스위프트(969G) - 언그레이드,"9,100원"
147040,목심 - 호주 | 오키(558) - A,"9,150원"
187520,설도 - 미국 | 크릭스톤 - 초이스(앵거스),"9,150원"
157084,토시살 - 미국 | 엑셀(RRA/앵거스)(86R) - 초이스,"9,180원"
180990,설도 - 미국 | 엑셀(86K) - 초이스,"9,190원"
189597,차돌양지 - 호주 | 티스(7) - A,"9,190원"
91116,토시살 - 호주 | AMH - GF,"9,200원"
144808,토시살 - 호주 | 카지노,"9,200원"
152756,홍두깨 - 미국 | 엑셀 - 초이스,"9,200원"
163100,차돌양지 - 미국 | NBP - 초이스,"9,200원"
164408,목심 - 호주 | 힐탑(128) - A,"9,200원"
169589,차돌양지 - 미국 | IBP - 프라임,"9,200원"
172689,일반갈비 - 뉴질랜드 | 실버펀팜 - PS,"9,200원"
173721,[대량상품] 설도 - 호주 | AMH(170) - GF,"9,200원"
174772,설깃 - 호주 | 블랙타이(레인저스벨리) - GF,"9,200원"
176845,설도 - 미국 | 크릭스톤 - 초이스(앵거스),"9,200원"
183836,알전각/볼라전각 - 우루과이 | 판도,"9,200원"
189372,일반갈비 - 뉴질랜드 | 실버펀팜(ME 9) - PS,"9,200원"
175446,토시살 - 미국 | 해리스랜치(783(해리스랜치)) - 언그레이드,"9,230원"
175099,토시살 - 미국 | 해리스랜치(783(해리스랜치)) - 언그레이드,"9,230원"
191263,알전각/볼라전각 - 호주 | AMH(235) - A,"9,250원"
150516,목심 - 호주 | AMH(235) - A,"9,270원"
81682,설도 - 미국 | EXCEL(86K) - 초이스,"9,280원"
161435,알전각/볼라전각 - 미국 | 엑셀 - 초이스,"9,280원"
184130,목심 - 호주 | AMH(235) - A,"9,280원"
182345,스지(뒷스지) - 호주 | 킬코이(640) - GF,"9,290원"
183515,스지(뒷스지) - 호주 | 킬코이(640) - GF,"9,290원"
81778,토시살 - 미국 | 엑셀(86K) - 언그레이드,"9,300원"
126442,앞다리/전각 - 호주 | AMH(235) - A,"9,300원"
134002,앞다리/전각 - 호주 | AMH(384) - A,"9,300원"
8110,차돌양지 - 호주 | 하비 - A,"9,300원"
85076,알목심 - 미국 | 엑셀(86E) - 초이스,"9,300원"
152361,홍두깨 - 미국 | 스위프트 - 초이스,"9,300원"
161923,토시살 - 캐나다 | 캐내디언 다이아몬드 비프(38) - A,"9,300원"
161624,설도 - 미국 | 엑셀(86M) - 초이스,"9,300원"
168089,양지갈비 - 뉴질랜드 | 그린니아(ME 124) - PS,"9,300원"
177289,목심 - 덴마크 | 스카레(DK834),"9,300원"
177383,앞/척갈비 - 호주 | 미트컴퍼니(249) - YP,"9,300원"
178769,스지(뒷스지) - 호주 | 스텐브룩(203) - GF,"9,300원"
179674,스지(뒷스지) - 호주 | 스텐브룩 - GF,"9,300원"
186183,앞다리/전각 - 미국 | 스위프트(969G) - 초이스,"9,300원"
189561,차돌양지 - 덴마크 | 스카레(DK834),"9,300원"
159240,홍두깨 - 미국 | 스위프트(3D) - 초이스,"9,350원"
188996,홍두깨 - 미국 | 스위프트(3D) - 초이스,"9,350원"
174349,앞사태 - 호주 | 킬코이(640) - GF,"9,370원"
116962,앞사태 - 호주 | 킬코이(640) - GF,"9,380원"
150519,대창 - 멕시코 | 비바 - GF,"9,400원"
172768,설도 - 호주 | 힐탑(128) - A,"9,400원"
177736,차돌양지 - 호주 | 랄프 - S,"9,400원"
182170,앞다리/전각 - 호주 | 오키,"9,400원"
185064,설도 - 미국 | 샘케인(337) - 언그레이드,"9,400원"
185067,홍두깨 - 미국 | 샘케인(337) - 언그레이드,"9,400원"
189370,목심 - 뉴질랜드 | 실버펀팜(ME 9) - PS,"9,400원"
190035,대창 - 멕시코 | 비바 - GF,"9,400원"
191548,차돌양지 - 호주 | 콜스 - YP,"9,400원"
123453,대창 - 미국 | 크릭스톤,"9,450원"
177850,토시살 - 미국 | 엑셀(354) - 초이스,"9,480원"
8082,안창살 - 호주 | 하비(648),"9,500원"
8116,토시살 - 호주 | 놀란,"9,500원"
5332,곱창 - 뉴질랜드 | AMP,"9,500원"
144855,일반갈비 - 호주 | 카지노(239) - VEAL,"9,500원"
145310,삼겹양지 - 미국 | 스위프트(969) - 초이스,"9,500원"
156317,숏립앤드 - 미국 | 오마하,"9,500원"
154863,토시살 - 미국 | 쇼케이스 - 초이스,"9,500원"
164591,앞/척갈비 - 호주 | 미트컴퍼니(1620) - YP,"9,500원"
174363,뒷사태 - 호주 | 엘그로(와규)(243(L'GROW/와규)) - MB4~5,"9,500원"
176106,대창 - 미국 | 크릭스톤 - 언그레이드,"9,500원"
177286,설도 - 덴마크 | 스카레(DK834),"9,500원"
